ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
23-Feb-2023,117.45,-0.76,-0.64%,118.21,117.45,118.21,
22-Feb-2023,118.21,-1.41,-1.18%,119.62,118.21,119.62,
21-Feb-2023,119.62,+9.51,+8.64%,110.11,110.11,119.62,
17-Feb-2023,110.11,-0.90,-0.81%,111.01,110.11,111.01,
16-Feb-2023,111.01,+2.37,+2.18%,108.64,108.64,111.01,
15-Feb-2023,108.64,-1.95,-1.76%,110.59,108.64,110.59,
14-Feb-2023,110.59,-0.08,-0.07%,110.67,110.59,110.67,
13-Feb-2023,110.67,+1.04,+0.95%,109.63,109.63,110.67,
10-Feb-2023,109.63,+7.18,+7.01%,102.45,102.45,109.63,
09-Feb-2023,102.45,+1.70,+1.69%,100.75,100.75,102.45,
08-Feb-2023,100.75,-2.40,-2.33%,103.15,100.75,103.15,
07-Feb-2023,103.15,-2.48,-2.35%,105.63,103.15,105.63,
06-Feb-2023,105.63,+6.64,+6.71%,98.99,98.99,105.63,
03-Feb-2023,98.99,+1.23,+1.26%,97.76,97.76,98.99,
02-Feb-2023,97.76,+0.43,+0.44%,97.33,97.33,97.76,
01-Feb-2023,97.33,-2.21,-2.22%,99.54,97.33,99.54,
31-Jan-2023,99.54,-4.23,-4.08%,103.77,99.54,103.77,
30-Jan-2023,103.77,+3.07,+3.05%,100.70,100.70,103.77,
27-Jan-2023,100.70,-3.58,-3.43%,104.28,100.70,104.28,
26-Jan-2023,104.28,-3.46,-3.21%,107.74,104.28,107.74,
25-Jan-2023,107.74,-5.02,-4.45%,112.76,107.74,112.76,
24-Jan-2023,112.76,-1.93,-1.68%,114.69,112.76,114.69,
23-Jan-2023,114.69,-0.07,-0.06%,114.76,114.69,114.76,
20-Jan-2023,114.76,+0.23,+0.20%,114.53,114.53,114.76,
19-Jan-2023,114.53,+1.92,+1.70%,112.61,112.61,114.53,
18-Jan-2023,112.61,-9.66,-7.90%,122.27,112.61,122.27,
17-Jan-2023,122.27,+8.72,+7.68%,113.55,113.55,122.27,
13-Jan-2023,113.55,+1.21,+1.08%,112.34,112.34,113.55,
12-Jan-2023,112.34,-2.83,-2.46%,115.17,112.34,115.17,
11-Jan-2023,115.17,-4.35,-3.64%,119.52,115.17,119.52,
10-Jan-2023,119.52,+2.85,+2.44%,116.67,116.67,119.52,
09-Jan-2023,116.67,+2.80,+2.46%,113.87,113.87,116.67,
06-Jan-2023,113.87,-5.66,-4.74%,119.53,113.87,119.53,
05-Jan-2023,119.53,-6.25,-4.97%,125.78,119.53,125.78,
04-Jan-2023,125.78,-4.19,-3.22%,129.97,125.78,129.97,
03-Jan-2023,129.97,+8.36,+6.87%,121.61,121.61,129.97,
30-Dec-2022,121.61,+1.36,+1.13%,120.25,120.25,121.61,
29-Dec-2022,120.25,+0.18,+0.15%,120.07,120.07,120.25,
28-Dec-2022,120.07,-4.82,-3.86%,124.89,120.07,124.89,
27-Dec-2022,124.89,+11.72,+10.36%,113.17,113.17,124.89,
23-Dec-2022,113.17,+1.12,+1.00%,112.05,112.05,113.17,
22-Dec-2022,112.05,-2.95,-2.57%,115.00,112.05,115.00,
21-Dec-2022,115.00,-4.92,-4.10%,119.92,115.00,119.92,
20-Dec-2022,119.92,+1.60,+1.35%,118.32,118.32,119.92,
19-Dec-2022,118.32,+4.67,+4.11%,113.65,113.65,118.32,
16-Dec-2022,113.65,+2.39,+2.15%,111.26,111.26,113.65,
15-Dec-2022,111.26,-9.00,-7.48%,120.26,111.26,120.26,
14-Dec-2022,120.26,-14.82,-10.97%,135.08,120.26,135.08,
13-Dec-2022,135.08,-6.85,-4.83%,141.93,135.08,141.93,
12-Dec-2022,141.93,+9.14,+6.88%,132.79,132.79,141.93,
09-Dec-2022,132.79,+3.25,+2.51%,129.54,129.54,132.79,
08-Dec-2022,129.54,-1.56,-1.19%,131.10,129.54,131.10,
07-Dec-2022,131.10,+2.01,+1.56%,129.09,129.09,131.10,
06-Dec-2022,129.09,+2.59,+2.05%,126.50,126.50,129.09,
05-Dec-2022,126.50,+7.88,+6.64%,118.62,118.62,126.50,
02-Dec-2022,118.62,-1.15,-0.96%,119.77,118.62,119.77,
01-Dec-2022,119.77,-7.50,-5.89%,127.27,119.77,127.27,
30-Nov-2022,127.27,-3.96,-3.02%,131.23,127.27,131.23,
29-Nov-2022,131.23,-0.50,-0.38%,131.73,131.23,131.73,
28-Nov-2022,131.73,+2.13,+1.64%,129.60,129.60,131.73,
25-Nov-2022,129.60,-6.60,-4.85%,136.20,129.60,136.20,
23-Nov-2022,136.20,+2.67,+2.00%,133.53,133.53,136.20,
22-Nov-2022,133.53,+1.40,+1.06%,132.13,132.13,133.53,
21-Nov-2022,132.13,+2.80,+2.17%,129.33,129.33,132.13,
