ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
13-Apr-2026,74.42,+2.27,+3.15%,72.15,72.15,74.42,
10-Apr-2026,72.15,-1.86,-2.51%,74.01,72.15,74.01,
09-Apr-2026,74.01,-4.73,-6.01%,78.74,74.01,78.74,
08-Apr-2026,78.74,-4.41,-5.30%,83.15,78.74,83.15,
07-Apr-2026,83.15,+1.47,+1.80%,81.68,81.68,83.15,
06-Apr-2026,81.68,-0.10,-0.12%,81.78,81.68,81.78,
03-Apr-2026,81.78,-2.63,-3.12%,84.41,81.78,84.41,
02-Apr-2026,84.41,-5.78,-6.41%,90.19,84.41,90.19,
01-Apr-2026,90.19,-5.86,-6.10%,96.05,90.19,96.05,
31-Mar-2026,96.05,-12.28,-11.34%,108.33,96.05,108.33,
30-Mar-2026,108.33,-3.62,-3.23%,111.95,108.33,111.95,
27-Mar-2026,111.95,-3.07,-2.67%,115.02,111.95,115.02,
26-Mar-2026,115.02,+17.43,+17.86%,97.59,97.59,115.02,
25-Mar-2026,97.59,-5.42,-5.26%,103.01,97.59,103.01,
24-Mar-2026,103.01,+4.86,+4.95%,98.15,98.15,103.01,
23-Mar-2026,98.15,-10.69,-9.82%,108.84,98.15,108.84,
20-Mar-2026,108.84,+23.96,+28.23%,84.88,84.88,108.84,
19-Mar-2026,84.88,+3.63,+4.47%,81.25,81.25,84.88,
18-Mar-2026,81.25,+2.02,+2.55%,79.23,79.23,81.25,
17-Mar-2026,79.23,-6.02,-7.06%,85.25,79.23,85.25,
16-Mar-2026,85.25,-5.92,-6.49%,91.17,85.25,91.17,
13-Mar-2026,91.17,-4.13,-4.33%,95.30,91.17,95.30,
12-Mar-2026,95.30,+16.71,+21.26%,78.59,78.59,95.30,
11-Mar-2026,78.59,+2.26,+2.96%,76.33,76.33,78.59,
10-Mar-2026,76.33,-3.41,-4.28%,79.74,76.33,79.74,
09-Mar-2026,79.74,-1.52,-1.87%,81.26,79.74,81.26,
06-Mar-2026,81.26,+6.73,+9.03%,74.53,74.53,81.26,
05-Mar-2026,74.53,+4.50,+6.43%,70.03,70.03,74.53,
04-Mar-2026,70.03,-7.72,-9.93%,77.75,70.03,77.75,
03-Mar-2026,77.75,+4.54,+6.20%,73.21,73.21,77.75,
02-Mar-2026,73.21,-0.17,-0.23%,73.38,73.21,73.38,
27-Feb-2026,73.38,+9.45,+14.78%,63.93,63.93,73.38,
26-Feb-2026,63.93,+1.50,+2.40%,62.43,62.43,63.93,
25-Feb-2026,62.43,-2.84,-4.35%,65.27,62.43,65.27,
24-Feb-2026,65.27,-2.76,-4.06%,68.03,65.27,68.03,
23-Feb-2026,68.03,+3.76,+5.85%,64.27,64.27,68.03,
20-Feb-2026,64.27,-3.76,-5.53%,68.03,64.27,68.03,
19-Feb-2026,68.03,+3.84,+5.98%,64.19,64.19,68.03,
18-Feb-2026,64.19,-4.65,-6.75%,68.84,64.19,68.84,
17-Feb-2026,68.84,-1.26,-1.80%,70.10,68.84,70.10,
13-Feb-2026,70.10,+1.53,+2.23%,68.57,68.57,70.10,
12-Feb-2026,68.57,+7.22,+11.77%,61.35,61.35,68.57,
11-Feb-2026,61.35,-3.20,-4.96%,64.55,61.35,64.55,
10-Feb-2026,64.55,+1.81,+2.88%,62.74,62.74,64.55,
09-Feb-2026,62.74,-0.88,-1.38%,63.62,62.74,63.62,
06-Feb-2026,63.62,+1.46,+2.35%,62.16,62.16,63.62,
05-Feb-2026,62.16,+4.65,+8.09%,57.51,57.51,62.16,
04-Feb-2026,57.51,-0.03,-0.05%,57.54,57.51,57.54,
03-Feb-2026,57.54,-1.76,-2.97%,59.30,57.54,59.30,
02-Feb-2026,59.30,+0.10,+0.17%,59.20,59.20,59.30,
30-Jan-2026,59.20,-1.53,-2.52%,60.73,59.20,60.73,
29-Jan-2026,60.73,+3.30,+5.75%,57.43,57.43,60.73,
28-Jan-2026,57.43,+1.31,+2.33%,56.12,56.12,57.43,
27-Jan-2026,56.12,+0.35,+0.63%,55.77,55.77,56.12,
26-Jan-2026,55.77,-0.48,-0.85%,56.25,55.77,56.25,
23-Jan-2026,56.25,-0.25,-0.44%,56.50,56.25,56.50,
22-Jan-2026,56.50,-3.06,-5.14%,59.56,56.50,59.56,
21-Jan-2026,59.56,-7.11,-10.66%,66.67,59.56,66.67,
20-Jan-2026,66.67,+8.62,+14.85%,58.05,58.05,66.67,
16-Jan-2026,58.05,+1.91,+3.40%,58.05,58.05,58.05,
15-Jan-2026,56.14,-1.97,-3.39%,58.11,56.14,58.11,
14-Jan-2026,58.11,-2.68,-4.41%,60.79,58.11,60.79,
13-Jan-2026,60.79,-2.11,-3.35%,62.90,60.79,62.90,
12-Jan-2026,62.90,+1.35,+2.19%,61.55,61.55,62.90,
09-Jan-2026,61.55,-5.39,-8.05%,66.94,61.55,66.94,
08-Jan-2026,66.94,+0.79,+1.19%,66.15,66.15,66.94,
07-Jan-2026,66.15,+0.33,+0.50%,65.82,65.82,66.15,
06-Jan-2026,65.82,+1.11,+1.72%,64.71,64.71,65.82,
05-Jan-2026,64.71,+2.35,+3.77%,62.36,62.36,64.71,
02-Jan-2026,62.36,-1.60,-2.50%,63.96,62.36,63.96,
31-Dec-2025,63.96,-0.02,-0.03%,63.98,63.96,63.98,
30-Dec-2025,63.98,+4.77,+8.06%,59.21,59.21,63.98,
29-Dec-2025,59.21,+0.71,+1.21%,58.50,58.50,59.21,
26-Dec-2025,58.50,-0.98,-1.65%,59.48,58.50,59.48,
24-Dec-2025,59.48,-1.69,-2.76%,61.17,59.48,61.17,
23-Dec-2025,61.17,-0.53,-0.86%,61.70,61.17,61.70,
22-Dec-2025,61.70,+2.29,+3.85%,59.41,59.41,61.70,
19-Dec-2025,59.41,-0.60,-1.00%,60.01,59.41,60.01,
18-Dec-2025,60.01,-2.73,-4.35%,62.74,60.01,62.74,
17-Dec-2025,62.74,-4.40,-6.55%,67.14,62.74,67.14,
16-Dec-2025,67.14,-6.17,-8.42%,73.31,67.14,73.31,
15-Dec-2025,73.31,+4.06,+5.86%,69.25,69.25,73.31,
12-Dec-2025,69.25,+0.01,+0.01%,69.24,69.24,69.25,
11-Dec-2025,69.24,+0.62,+0.90%,68.62,68.62,69.24,
10-Dec-2025,68.62,-6.76,-8.97%,75.38,68.62,75.38,
09-Dec-2025,75.38,+3.08,+4.26%,72.30,72.30,75.38,
08-Dec-2025,72.30,+5.02,+7.46%,67.28,67.28,72.30,
05-Dec-2025,67.28,+1.59,+2.42%,65.69,65.69,67.28,
04-Dec-2025,65.69,-0.77,-1.16%,66.46,65.69,66.46,
03-Dec-2025,66.46,-3.45,-4.93%,69.91,66.46,69.91,
02-Dec-2025,69.91,-1.44,-2.02%,71.35,69.91,71.35,
01-Dec-2025,71.35,+2.40,+3.48%,68.95,68.95,71.35,
28-Nov-2025,68.95,-2.95,-4.10%,71.90,68.95,71.90,
26-Nov-2025,71.90,-0.92,-1.26%,72.82,71.90,72.82,
25-Nov-2025,72.82,-4.00,-5.21%,76.82,72.82,76.82,
24-Nov-2025,76.82,-1.99,-2.53%,78.81,76.82,78.81,
21-Nov-2025,78.81,+1.00,+1.29%,77.81,77.81,78.81,
20-Nov-2025,77.81,-6.51,-7.72%,84.32,77.81,84.32,
19-Nov-2025,84.32,+1.14,+1.37%,83.18,83.18,84.32,
18-Nov-2025,83.18,+0.60,+0.73%,82.58,82.58,83.18,
17-Nov-2025,82.58,+2.87,+3.60%,79.71,79.71,82.58,
14-Nov-2025,79.71,+0.61,+0.77%,79.10,79.10,79.71,
13-Nov-2025,79.10,-2.02,-2.49%,81.12,79.10,81.12,
12-Nov-2025,81.12,+2.26,+2.87%,78.86,78.86,81.12,
10-Nov-2025,78.86,+4.45,+5.98%,74.41,74.41,78.86,
07-Nov-2025,74.41,+1.97,+2.72%,72.44,72.44,74.41,
06-Nov-2025,72.44,+0.02,+0.03%,72.42,72.42,72.44,
05-Nov-2025,72.42,+4.40,+6.47%,68.02,68.02,72.42,
04-Nov-2025,68.02,+0.79,+1.18%,67.23,67.23,68.02,
03-Nov-2025,67.23,+0.62,+0.93%,66.61,66.61,67.23,
31-Oct-2025,66.61,-0.27,-0.40%,66.88,66.61,66.88,
30-Oct-2025,66.88,+1.13,+1.72%,65.75,65.75,66.88,
29-Oct-2025,65.75,-1.55,-2.30%,67.30,65.75,67.30,
28-Oct-2025,67.30,+0.43,+0.64%,66.87,66.87,67.30,
27-Oct-2025,66.87,-2.07,-3.00%,68.94,66.87,68.94,
24-Oct-2025,68.94,-5.11,-6.90%,74.05,68.94,74.05,
23-Oct-2025,74.05,-1.44,-1.91%,75.49,74.05,75.49,
22-Oct-2025,75.49,-1.69,-2.19%,77.18,75.49,77.18,
21-Oct-2025,77.18,-0.04,-0.05%,77.22,77.18,77.22,
20-Oct-2025,77.22,-1.40,-1.78%,78.62,77.22,78.62,
17-Oct-2025,78.62,-2.61,-3.21%,81.23,78.62,81.23,
16-Oct-2025,81.23,+6.12,+8.15%,75.11,75.11,81.23,
15-Oct-2025,75.11,-4.84,-6.05%,79.95,75.11,79.95,
14-Oct-2025,79.95,-1.70,-2.08%,81.65,79.95,81.65,
10-Oct-2025,81.65,+7.53,+10.16%,74.12,74.12,81.65,
09-Oct-2025,74.12,-0.75,-1.00%,74.87,74.12,74.87,
08-Oct-2025,74.87,-0.56,-0.74%,75.43,74.87,75.43,
07-Oct-2025,75.43,+2.44,+3.34%,72.99,72.99,75.43,
06-Oct-2025,72.99,+3.46,+4.98%,69.53,69.53,72.99,
03-Oct-2025,69.53,-1.68,-2.36%,71.21,69.53,71.21,
02-Oct-2025,71.21,-2.29,-3.12%,73.50,71.21,73.50,
01-Oct-2025,73.50,-4.43,-5.68%,77.93,73.50,77.93,
30-Sep-2025,77.93,+2.42,+3.20%,75.51,75.51,77.93,
29-Sep-2025,75.51,+1.13,+1.52%,74.38,74.38,75.51,
26-Sep-2025,74.38,-1.06,-1.41%,75.44,74.38,75.44,
25-Sep-2025,75.44,+0.31,+0.41%,75.13,75.13,75.44,
24-Sep-2025,75.13,-0.53,-0.70%,75.66,75.13,75.66,
23-Sep-2025,75.66,-0.14,-0.18%,75.80,75.66,75.80,
22-Sep-2025,75.80,+3.29,+4.54%,72.51,72.51,75.80,
19-Sep-2025,72.51,+0.60,+0.83%,71.91,71.91,72.51,
18-Sep-2025,71.91,-4.04,-5.32%,75.95,71.91,75.95,
17-Sep-2025,75.95,-1.14,-1.48%,77.09,75.95,77.09,
16-Sep-2025,77.09,+0.21,+0.27%,76.88,76.88,77.09,
15-Sep-2025,76.88,+3.51,+4.78%,73.37,73.37,76.88,
12-Sep-2025,73.37,-1.70,-2.26%,75.07,73.37,75.07,
11-Sep-2025,75.07,-4.51,-5.67%,79.58,75.07,79.58,
10-Sep-2025,79.58,-2.62,-3.19%,82.20,79.58,82.20,
09-Sep-2025,82.20,-1.80,-2.14%,84.00,82.20,84.00,
08-Sep-2025,84.00,-1.29,-1.51%,85.29,84.00,85.29,
05-Sep-2025,85.29,-2.97,-3.37%,88.26,85.29,88.26,
04-Sep-2025,88.26,-1.41,-1.57%,89.67,88.26,89.67,
03-Sep-2025,89.67,+4.39,+5.15%,85.28,85.28,89.67,
02-Sep-2025,85.28,+5.89,+7.42%,79.39,79.39,85.28,
29-Aug-2025,79.39,+1.84,+2.37%,77.55,77.55,79.39,
28-Aug-2025,77.55,-0.11,-0.14%,77.66,77.55,77.66,
27-Aug-2025,77.66,-1.70,-2.14%,79.36,77.66,79.36,
26-Aug-2025,79.36,+1.80,+2.32%,77.56,77.56,79.36,
25-Aug-2025,77.56,-0.54,-0.69%,78.10,77.56,78.10,
22-Aug-2025,78.10,-2.42,-3.01%,80.52,78.10,80.52,
21-Aug-2025,80.52,-0.23,-0.28%,80.75,80.52,80.75,
20-Aug-2025,80.75,-1.40,-1.70%,82.15,80.75,82.15,
19-Aug-2025,82.15,+0.33,+0.40%,81.82,81.82,82.15,
18-Aug-2025,81.82,+5.16,+6.73%,76.66,76.66,81.82,
15-Aug-2025,76.66,-0.11,-0.14%,76.77,76.66,76.77,
14-Aug-2025,76.77,-0.54,-0.70%,77.31,76.77,77.31,
13-Aug-2025,77.31,-0.11,-0.14%,77.42,77.31,77.42,
12-Aug-2025,77.42,-4.34,-5.31%,81.76,77.42,81.76,
11-Aug-2025,81.76,+2.56,+3.23%,79.20,79.20,81.76,
08-Aug-2025,79.20,-0.95,-1.19%,80.15,79.20,80.15,
07-Aug-2025,80.15,-3.74,-4.46%,83.89,80.15,83.89,
06-Aug-2025,83.89,-5.31,-5.95%,89.20,83.89,89.20,
05-Aug-2025,89.20,+1.25,+1.42%,87.95,87.95,89.20,
04-Aug-2025,87.95,+4.12,+4.91%,83.83,83.83,87.95,
01-Aug-2025,83.83,+3.99,+5.00%,79.84,79.84,83.83,
31-Jul-2025,79.84,-2.04,-2.49%,81.88,79.84,81.88,
30-Jul-2025,81.88,-3.19,-3.75%,85.07,81.88,85.07,
29-Jul-2025,85.07,+1.34,+1.60%,83.73,83.73,85.07,
28-Jul-2025,83.73,+1.64,+2.00%,82.09,82.09,83.73,
25-Jul-2025,82.09,-0.66,-0.80%,82.75,82.09,82.75,
24-Jul-2025,82.75,-3.20,-3.72%,85.95,82.75,85.95,
23-Jul-2025,85.95,-3.94,-4.38%,89.89,85.95,89.89,
22-Jul-2025,89.89,+3.27,+3.78%,86.62,86.62,89.89,
21-Jul-2025,86.62,+3.33,+4.00%,83.29,83.29,86.62,
18-Jul-2025,83.29,-2.28,-2.66%,85.57,83.29,85.57,
17-Jul-2025,85.57,-3.95,-4.41%,89.52,85.57,89.52,
16-Jul-2025,89.52,+0.57,+0.64%,88.95,88.95,89.52,
15-Jul-2025,88.95,-1.78,-1.96%,90.73,88.95,90.73,
14-Jul-2025,90.73,+5.25,+6.14%,85.48,85.48,90.73,
11-Jul-2025,85.48,+3.90,+4.78%,81.58,81.58,85.48,
10-Jul-2025,81.58,-2.73,-3.24%,84.31,81.58,84.31,
09-Jul-2025,84.31,-3.74,-4.25%,88.05,84.31,88.05,
08-Jul-2025,88.05,-0.48,-0.54%,88.53,88.05,88.53,
07-Jul-2025,88.53,+2.44,+2.83%,86.09,86.09,88.53,
03-Jul-2025,86.09,-5.28,-5.78%,91.37,86.09,91.37,
02-Jul-2025,91.37,-2.11,-2.26%,93.48,91.37,93.48,
01-Jul-2025,93.48,+3.22,+3.57%,90.26,90.26,93.48,
30-Jun-2025,90.26,+2.33,+2.65%,87.93,87.93,90.26,
27-Jun-2025,87.93,-1.54,-1.72%,89.47,87.93,89.47,
26-Jun-2025,89.47,-1.77,-1.94%,91.24,89.47,91.24,
25-Jun-2025,91.24,-1.38,-1.49%,92.62,91.24,92.62,
24-Jun-2025,92.62,-2.41,-2.54%,95.03,92.62,95.03,
23-Jun-2025,95.03,+4.93,+5.47%,90.10,90.10,95.03,
20-Jun-2025,90.10,-3.54,-3.78%,93.64,90.10,93.64,
18-Jun-2025,93.64,-3.54,-3.64%,97.18,93.64,97.18,
17-Jun-2025,97.18,+3.70,+3.96%,93.48,93.48,97.18,
16-Jun-2025,93.48,-1.83,-1.92%,95.31,93.48,95.31,
13-Jun-2025,95.31,+6.32,+7.10%,88.99,88.99,95.31,
12-Jun-2025,88.99,-0.37,-0.41%,89.36,88.99,89.36,
11-Jun-2025,89.36,-1.86,-2.04%,91.22,89.36,91.22,
10-Jun-2025,91.22,-1.40,-1.51%,92.62,91.22,92.62,
09-Jun-2025,92.62,+2.97,+3.31%,89.65,89.65,92.62,
06-Jun-2025,89.65,-5.00,-5.28%,94.65,89.65,94.65,
05-Jun-2025,94.65,-2.33,-2.40%,96.98,94.65,96.98,
04-Jun-2025,96.98,-3.02,-3.02%,100.00,96.98,100.00,
03-Jun-2025,100.00,+4.24,+4.43%,95.76,95.76,100.00,
02-Jun-2025,95.76,+3.65,+3.96%,92.11,92.11,95.76,
30-May-2025,92.11,-0.56,-0.60%,92.67,92.11,92.67,
29-May-2025,92.67,-0.53,-0.57%,93.20,92.67,93.20,
28-May-2025,93.20,-4.73,-4.83%,97.93,93.20,97.93,
27-May-2025,97.93,-2.98,-2.95%,100.91,97.93,100.91,
23-May-2025,100.91,+1.44,+1.45%,99.47,99.47,100.91,
22-May-2025,99.47,-2.63,-2.58%,102.10,99.47,102.10,
21-May-2025,102.10,+0.73,+0.72%,101.37,101.37,102.10,
20-May-2025,101.37,-2.44,-2.35%,103.81,101.37,103.81,
19-May-2025,103.81,+7.11,+7.35%,96.70,96.70,103.81,
16-May-2025,96.70,-1.95,-1.98%,98.65,96.70,98.65,
15-May-2025,98.65,-2.08,-2.06%,100.73,98.65,100.73,
14-May-2025,100.73,+0.60,+0.60%,100.13,100.13,100.73,
13-May-2025,100.13,-2.77,-2.69%,102.90,100.13,102.90,
12-May-2025,102.90,+2.50,+2.49%,100.40,100.40,102.90,
09-May-2025,100.40,+1.74,+1.76%,98.66,98.66,100.40,
08-May-2025,98.66,-1.21,-1.21%,99.87,98.66,99.87,
07-May-2025,99.87,-6.31,-5.94%,106.18,99.87,106.18,
06-May-2025,106.18,+1.73,+1.66%,104.45,104.45,106.18,
05-May-2025,104.45,+3.05,+3.01%,101.40,101.40,104.45,
02-May-2025,101.40,-5.93,-5.53%,107.33,101.40,107.33,
01-May-2025,107.33,-5.15,-4.58%,112.48,107.33,112.48,
30-Apr-2025,112.48,+0.21,+0.19%,112.27,112.27,112.48,
29-Apr-2025,112.27,+2.26,+2.05%,110.01,110.01,112.27,
28-Apr-2025,110.01,+4.22,+3.99%,105.79,105.79,110.01,
25-Apr-2025,105.79,-2.49,-2.30%,108.28,105.79,108.28,
24-Apr-2025,108.28,-8.32,-7.14%,116.60,108.28,116.60,
23-Apr-2025,116.60,-1.75,-1.48%,118.35,116.60,118.35,
22-Apr-2025,118.35,-10.21,-7.94%,128.56,118.35,128.56,
21-Apr-2025,128.56,+13.92,+12.14%,114.64,114.64,128.56,
17-Apr-2025,114.64,-4.76,-3.99%,119.40,114.64,119.40,
16-Apr-2025,119.40,-3.16,-2.58%,122.56,119.40,122.56,
15-Apr-2025,122.56,-9.90,-7.47%,132.46,122.56,132.46,
14-Apr-2025,132.46,-4.80,-3.50%,137.26,132.46,137.26,
11-Apr-2025,137.26,+8.91,+6.94%,128.35,128.35,137.26,
10-Apr-2025,128.35,-0.48,-0.37%,128.83,128.35,128.83,
09-Apr-2025,128.83,-11.05,-7.90%,139.88,128.83,139.88,
08-Apr-2025,139.88,+2.58,+1.88%,137.30,137.30,139.88,
07-Apr-2025,137.30,+11.59,+9.22%,125.71,125.71,137.30,
04-Apr-2025,125.71,+13.71,+12.24%,112.00,112.00,125.71,
03-Apr-2025,112.00,+5.61,+5.27%,106.39,106.39,112.00,
02-Apr-2025,106.39,+1.66,+1.59%,104.73,104.73,106.39,
01-Apr-2025,104.73,+3.38,+3.33%,101.35,101.35,104.73,
31-Mar-2025,101.35,+4.52,+4.67%,96.83,96.83,101.35,
28-Mar-2025,96.83,+5.80,+6.37%,91.03,91.03,96.83,
27-Mar-2025,91.03,-0.38,-0.42%,91.41,91.03,91.41,
26-Mar-2025,91.41,-2.16,-2.31%,93.57,91.41,93.57,
25-Mar-2025,93.57,-1.65,-1.73%,95.22,93.57,95.22,
24-Mar-2025,95.22,+0.68,+0.72%,94.54,94.54,95.22,
21-Mar-2025,94.54,-1.20,-1.25%,95.74,94.54,95.74,
20-Mar-2025,95.74,+4.34,+4.75%,91.40,91.40,95.74,
19-Mar-2025,91.40,-5.28,-5.46%,96.68,91.40,96.68,
18-Mar-2025,96.68,-3.10,-3.11%,99.78,96.68,99.78,
17-Mar-2025,99.78,-1.23,-1.22%,101.01,99.78,101.01,
14-Mar-2025,101.01,-5.18,-4.88%,106.19,101.01,106.19,
13-Mar-2025,106.19,+2.08,+2.00%,104.11,104.11,106.19,
12-Mar-2025,104.11,-10.49,-9.15%,114.60,104.11,114.60,
11-Mar-2025,114.60,+2.10,+1.87%,112.50,112.50,114.60,
10-Mar-2025,112.50,+8.09,+7.75%,104.41,104.41,112.50,
07-Mar-2025,104.41,-4.54,-4.17%,108.95,104.41,108.95,
06-Mar-2025,108.95,+4.63,+4.44%,104.32,104.32,108.95,
05-Mar-2025,104.32,-4.55,-4.18%,108.87,104.32,108.87,
04-Mar-2025,108.87,+3.22,+3.05%,105.65,105.65,108.87,
03-Mar-2025,105.65,+1.19,+1.14%,104.46,104.46,105.65,
28-Feb-2025,104.46,+8.19,+8.51%,96.27,96.27,104.46,
27-Feb-2025,96.27,-1.25,-1.28%,97.52,96.27,97.52,
26-Feb-2025,97.52,+0.91,+0.94%,96.61,96.61,97.52,
25-Feb-2025,96.61,+8.17,+9.24%,88.44,88.44,96.61,
24-Feb-2025,88.44,-3.39,-3.69%,91.83,88.44,91.83,
21-Feb-2025,91.83,+5.57,+6.46%,86.26,86.26,91.83,
20-Feb-2025,86.26,+2.40,+2.86%,83.86,83.86,86.26,
19-Feb-2025,83.86,-0.65,-0.77%,84.51,83.86,84.51,
18-Feb-2025,84.51,-0.16,-0.19%,84.67,84.51,84.67,
14-Feb-2025,84.67,+0.10,+0.12%,84.57,84.57,84.67,
13-Feb-2025,84.57,-2.01,-2.32%,86.58,84.57,86.58,
12-Feb-2025,86.58,+1.00,+1.17%,85.58,85.58,86.58,
11-Feb-2025,85.58,-2.10,-2.40%,87.68,85.58,87.68,
10-Feb-2025,87.68,-5.45,-5.85%,93.13,87.68,93.13,
07-Feb-2025,93.13,-0.77,-0.82%,93.90,93.13,93.90,
06-Feb-2025,93.90,-0.78,-0.82%,94.68,93.90,94.68,
05-Feb-2025,94.68,+4.40,+4.87%,90.28,90.28,94.68,
04-Feb-2025,90.28,-3.87,-4.11%,94.15,90.28,94.15,
03-Feb-2025,94.15,+2.39,+2.60%,91.76,91.76,94.15,
31-Jan-2025,91.76,+1.22,+1.35%,90.54,90.54,91.76,
30-Jan-2025,90.54,-0.19,-0.21%,90.73,90.54,90.73,
29-Jan-2025,90.73,-2.10,-2.26%,92.83,90.73,92.83,
28-Jan-2025,92.83,-2.22,-2.34%,95.05,92.83,95.05,
27-Jan-2025,95.05,+8.30,+9.57%,86.75,86.75,95.05,
24-Jan-2025,86.75,-1.76,-1.99%,88.51,86.75,88.51,
23-Jan-2025,88.51,-1.39,-1.55%,89.90,88.51,89.90,
22-Jan-2025,89.90,-6.88,-7.11%,96.78,89.90,96.78,
21-Jan-2025,96.78,+1.18,+1.23%,95.60,95.60,96.78,
17-Jan-2025,95.60,+2.88,+3.11%,92.72,92.72,95.60,
16-Jan-2025,92.72,-0.38,-0.41%,93.10,92.72,93.10,
15-Jan-2025,93.10,-8.89,-8.72%,101.99,93.10,101.99,
14-Jan-2025,101.99,-1.52,-1.47%,103.51,101.99,103.51,
13-Jan-2025,103.51,+6.94,+7.19%,96.57,96.57,103.51,
10-Jan-2025,96.57,-3.16,-3.17%,99.73,96.57,99.73,
09-Jan-2025,99.73,-1.03,-1.02%,100.76,99.73,100.76,
08-Jan-2025,100.76,-2.02,-1.97%,102.78,100.76,102.78,
07-Jan-2025,102.78,+4.89,+5.00%,97.89,97.89,102.78,
06-Jan-2025,97.89,+4.54,+4.86%,93.35,93.35,97.89,
03-Jan-2025,93.35,-3.32,-3.43%,96.67,93.35,96.67,
02-Jan-2025,96.67,-2.13,-2.16%,98.80,96.67,98.80,
31-Dec-2024,98.80,-0.28,-0.28%,99.08,98.80,99.08,
30-Dec-2024,99.08,+4.28,+4.51%,94.80,94.80,99.08,
27-Dec-2024,94.80,-0.40,-0.42%,95.20,94.80,95.20,
26-Dec-2024,95.20,-1.75,-1.81%,96.95,95.20,96.95,
24-Dec-2024,96.95,+1.10,+1.15%,95.85,95.85,96.95,
23-Dec-2024,95.85,+4.10,+4.47%,91.75,91.75,95.85,
20-Dec-2024,91.75,+1.34,+1.48%,90.41,90.41,91.75,
19-Dec-2024,90.41,+3.20,+3.67%,87.21,87.21,90.41,
18-Dec-2024,87.21,-3.21,-3.55%,90.42,87.21,90.42,
17-Dec-2024,90.42,-0.46,-0.51%,90.88,90.42,90.88,
16-Dec-2024,90.88,+5.22,+6.09%,85.66,85.66,90.88,
13-Dec-2024,85.66,+3.00,+3.63%,82.66,82.66,85.66,
12-Dec-2024,82.66,+0.26,+0.32%,82.40,82.40,82.66,
11-Dec-2024,82.40,-7.70,-8.55%,90.10,82.40,90.10,
10-Dec-2024,90.10,+4.47,+5.22%,85.63,85.63,90.10,
09-Dec-2024,85.63,+2.43,+2.92%,83.20,83.20,85.63,
06-Dec-2024,83.20,-8.28,-9.05%,91.48,83.20,91.48,
05-Dec-2024,91.48,-0.77,-0.83%,92.25,91.48,92.25,
04-Dec-2024,92.25,-3.35,-3.50%,95.60,92.25,95.60,
03-Dec-2024,95.60,-2.21,-2.26%,97.81,95.60,97.81,
02-Dec-2024,97.81,+2.59,+2.72%,95.22,95.22,97.81,
29-Nov-2024,95.22,-2.52,-2.58%,97.74,95.22,97.74,
27-Nov-2024,97.74,-1.44,-1.45%,99.18,97.74,99.18,
26-Nov-2024,99.18,-0.78,-0.78%,99.96,99.18,99.96,
25-Nov-2024,99.96,+0.82,+0.83%,99.14,99.14,99.96,
22-Nov-2024,99.14,-2.76,-2.71%,101.90,99.14,101.90,
21-Nov-2024,101.90,-4.79,-4.49%,106.69,101.90,106.69,
20-Nov-2024,106.69,+1.57,+1.49%,105.12,105.12,106.69,
19-Nov-2024,105.12,+3.11,+3.05%,102.01,102.01,105.12,
18-Nov-2024,102.01,-0.46,-0.45%,102.47,102.01,102.47,
15-Nov-2024,102.47,+3.04,+3.06%,99.43,99.43,102.47,
14-Nov-2024,99.43,-2.65,-2.60%,102.08,99.43,102.08,
13-Nov-2024,102.08,-6.47,-5.96%,108.55,102.08,108.55,
12-Nov-2024,108.55,+8.70,+8.71%,99.85,99.85,108.55,
08-Nov-2024,99.85,-4.23,-4.06%,104.08,99.85,104.08,
07-Nov-2024,104.08,-13.56,-11.53%,117.64,104.08,117.64,
06-Nov-2024,117.64,-12.79,-9.81%,130.43,117.64,130.43,
05-Nov-2024,130.43,-5.82,-4.27%,136.25,130.43,136.25,
04-Nov-2024,136.25,+3.67,+2.77%,132.58,132.58,136.25,
01-Nov-2024,132.58,-2.60,-1.92%,135.18,132.58,135.18,
31-Oct-2024,135.18,+4.38,+3.35%,130.80,130.80,135.18,
30-Oct-2024,130.80,-1.07,-0.81%,131.87,130.80,131.87,
29-Oct-2024,131.87,+0.95,+0.73%,130.92,130.92,131.87,
28-Oct-2024,130.92,+2.52,+1.96%,128.40,128.40,130.92,
25-Oct-2024,128.40,+0.92,+0.72%,127.48,127.48,128.40,
24-Oct-2024,127.48,-1.57,-1.22%,129.05,127.48,129.05,
23-Oct-2024,129.05,-0.21,-0.16%,129.26,129.05,129.26,
22-Oct-2024,129.26,+0.31,+0.24%,128.95,128.95,129.26,
